temperature,metric,mean,stdev,n
0.0,ir_valid,1.0,0.0,339
0.0,compile_pass,1.0,0.0,339
0.0,verify_pass,1.0,0.0,339
0.0,execution_pass,1.0,0.0,339
0.0,task_success,1.0,0.0,339
0.2,ir_valid,0.9882005899705014,0.10814195087066093,339
0.2,compile_pass,0.9852507374631269,0.12072578453350256,339
0.2,verify_pass,0.9852507374631269,0.12072578453350256,339
0.2,execution_pass,0.9852507374631269,0.12072578453350256,339
0.2,task_success,0.9852507374631269,0.12072578453350256,339
0.4,ir_valid,0.9705014749262537,0.16944928854483485,339
0.4,compile_pass,0.9469026548672567,0.2245590537083693,339
0.4,verify_pass,0.9469026548672567,0.2245590537083693,339
0.4,execution_pass,0.9469026548672567,0.2245590537083693,339
0.4,task_success,0.9410029498525073,0.23596747216569217,339
0.6,ir_valid,0.9498525073746312,0.2185718344632207,339
0.6,compile_pass,0.8997050147492626,0.30083695136425453,339
0.6,verify_pass,0.8997050147492626,0.30083695136425453,339
0.6,execution_pass,0.8997050147492626,0.30083695136425453,339
0.6,task_success,0.8820058997050148,0.32307800360717015,339
0.8,ir_valid,0.9144542772861357,0.2801055065448365,339
0.8,compile_pass,0.8672566371681416,0.33979870769788834,339
0.8,verify_pass,0.8672566371681416,0.33979870769788834,339
0.8,execution_pass,0.8672566371681416,0.33979870769788834,339
0.8,task_success,0.8584070796460177,0.34914748169419607,339
1.0,ir_valid,0.9262536873156342,0.2617439361571949,339
1.0,compile_pass,0.8584070796460177,0.34914748169419607,339
1.0,verify_pass,0.8584070796460177,0.34914748169419607,339
1.0,execution_pass,0.8584070796460177,0.34914748169419607,339
1.0,task_success,0.8466076696165191,0.36089795481154613,339
