temperature,metric,mean,stdev,n
0.6,ir_valid,0.9646017699115044,0.18505733350302192,339
0.6,compile_pass,0.9321533923303835,0.25185423618203595,339
0.6,verify_pass,0.9321533923303835,0.25185423618203595,339
0.6,execution_pass,0.9321533923303835,0.25185423618203595,339
0.6,task_success,0.9085545722713865,0.2886675763680297,339
1.0,ir_valid,0.9380530973451328,0.2414154209166316,339
1.0,compile_pass,0.8672566371681416,0.33979870769788834,339
1.0,verify_pass,0.8672566371681416,0.33979870769788834,339
1.0,execution_pass,0.8672566371681416,0.33979870769788834,339
1.0,task_success,0.8466076696165191,0.36089795481154613,339
